date,open,high,low,close,volume,quoteVol
2023-08-25,219.00000000,219.60000000,213.70000000,218.40000000,380692.10500000,1693007999999
2023-08-26,218.50000000,219.30000000,216.10000000,216.50000000,146835.27100000,1693094399999
2023-08-27,216.40000000,219.80000000,215.90000000,218.40000000,186853.18400000,1693180799999
2023-08-28,218.40000000,219.50000000,215.10000000,218.80000000,310319.44200000,1693267199999
2023-08-29,218.80000000,234.80000000,217.00000000,226.90000000,666199.64900000,1693353599999
2023-08-30,226.90000000,227.30000000,221.70000000,223.80000000,305094.43800000,1693439999999
2023-08-31,223.80000000,226.00000000,214.40000000,216.70000000,452017.91300000,1693526399999
2023-09-01,216.70000000,218.40000000,211.20000000,213.70000000,461833.23800000,1693612799999
2023-09-02,213.70000000,215.90000000,213.00000000,214.40000000,207729.72600000,1693699199999
2023-09-03,214.40000000,215.20000000,213.20000000,214.40000000,168458.24200000,1693785599999
2023-09-04,214.40000000,216.50000000,213.10000000,215.20000000,305315.44500000,1693871999999
2023-09-05,215.30000000,216.10000000,213.50000000,214.60000000,242764.07900000,1693958399999
2023-09-06,214.60000000,218.80000000,211.80000000,215.20000000,300823.42400000,1694044799999
2023-09-07,215.20000000,217.90000000,213.60000000,217.10000000,247735.49600000,1694131199999
2023-09-08,217.10000000,218.80000000,213.40000000,214.70000000,235244.29600000,1694217599999
2023-09-09,214.70000000,215.40000000,214.10000000,214.10000000,94752.24600000,1694303999999
2023-09-10,214.20000000,214.30000000,211.10000000,212.40000000,281482.37900000,1694390399999
2023-09-11,212.40000000,212.70000000,203.90000000,206.10000000,580093.12300000,1694476799999
2023-09-12,206.20000000,214.30000000,204.90000000,210.70000000,523734.99900000,1694563199999
2023-09-13,210.80000000,213.30000000,209.30000000,212.50000000,301454.87500000,1694649599999
2023-09-14,212.50000000,215.00000000,211.00000000,212.20000000,354022.55300000,1694735999999
2023-09-15,212.20000000,215.00000000,210.90000000,214.10000000,312856.99700000,1694822399999
2023-09-16,214.10000000,216.00000000,213.30000000,214.90000000,288697.08500000,1694908799999
2023-09-17,214.90000000,216.80000000,213.30000000,216.50000000,333002.46800000,1694995199999
2023-09-18,216.40000000,221.30000000,214.90000000,216.00000000,600156.61000000,1695081599999
2023-09-19,216.00000000,219.90000000,215.30000000,217.20000000,347261.74800000,1695167999999
2023-09-20,217.20000000,217.80000000,213.30000000,214.40000000,368825.74600000,1695254399999
2023-09-21,214.30000000,215.10000000,209.10000000,210.80000000,412312.20900000,1695340799999
2023-09-22,210.80000000,213.00000000,209.60000000,211.10000000,237677.23500000,1695427199999
2023-09-23,211.10000000,211.70000000,209.90000000,210.50000000,117618.21000000,1695513599999
2023-09-24,210.40000000,211.20000000,206.50000000,208.30000000,185179.50200000,1695599999999
2023-09-25,208.30000000,210.60000000,206.50000000,209.90000000,272401.46500000,1695686399999
2023-09-26,210.00000000,213.70000000,209.70000000,212.60000000,280709.58900000,1695772799999
2023-09-27,212.60000000,216.00000000,210.50000000,212.00000000,409367.39700000,1695859199999
2023-09-28,212.10000000,217.00000000,211.50000000,215.00000000,394085.54300000,1695945599999
2023-09-29,215.00000000,217.60000000,214.30000000,215.20000000,371923.96100000,1696031999999
2023-09-30,215.20000000,216.50000000,214.10000000,214.60000000,179075.15600000,1696118399999
2023-10-01,214.60000000,219.40000000,213.10000000,218.20000000,415044.57800000,1696204799999
2023-10-02,218.20000000,221.60000000,213.10000000,214.60000000,565949.13600000,1696291199999
2023-10-03,214.60000000,215.80000000,212.40000000,213.50000000,294511.08300000,1696377599999
2023-10-04,213.50000000,213.80000000,210.80000000,213.40000000,328882.49000000,1696463999999
2023-10-05,213.40000000,213.90000000,210.20000000,210.60000000,259374.03900000,1696550399999
2023-10-06,210.70000000,214.60000000,210.10000000,213.40000000,258866.55300000,1696636799999
2023-10-07,213.40000000,213.80000000,211.50000000,212.30000000,125590.79200000,1696723199999
2023-10-08,212.20000000,212.80000000,208.80000000,211.40000000,225258.30500000,1696809599999
2023-10-09,211.30000000,212.20000000,202.00000000,205.80000000,572318.20500000,1696895999999
2023-10-10,205.90000000,213.10000000,205.50000000,208.60000000,577725.01400000,1696982399999
2023-10-11,208.60000000,208.80000000,204.30000000,206.60000000,397200.81700000,1697068799999
2023-10-12,206.60000000,207.30000000,202.80000000,205.10000000,355516.95800000,1697155199999
2023-10-13,205.10000000,208.30000000,204.30000000,206.10000000,331300.92000000,1697241599999
2023-10-14,206.10000000,207.10000000,205.70000000,206.50000000,142741.13200000,1697327999999
2023-10-15,206.50000000,213.00000000,206.30000000,209.70000000,365630.55400000,1697414399999
2023-10-16,209.80000000,219.00000000,209.60000000,214.60000000,773179.81000000,1697500799999
2023-10-17,214.70000000,215.00000000,209.00000000,211.40000000,372808.01600000,1697587199999
2023-10-18,211.40000000,213.90000000,209.90000000,210.20000000,260942.33800000,1697673599999
2023-10-19,210.30000000,211.50000000,208.20000000,211.20000000,274491.48900000,1697759999999
