date,open,high,low,close,volume
2023-11-29,229.60000000,231.20000000,226.10000000,227.30000000,416529.00100000
2023-11-30,227.30000000,229.20000000,225.90000000,227.60000000,360874.41900000
2023-12-01,227.60000000,230.00000000,227.00000000,228.50000000,425879.27500000
2023-12-02,228.50000000,230.10000000,224.80000000,229.00000000,456196.93300000
2023-12-03,229.10000000,231.90000000,225.90000000,228.10000000,594689.61400000
2023-12-04,228.10000000,237.40000000,224.80000000,233.50000000,1475825.97100000
2023-12-05,233.50000000,234.90000000,227.90000000,231.20000000,861796.38000000
2023-12-06,231.30000000,234.80000000,228.60000000,229.40000000,858794.13200000
2023-12-07,229.50000000,234.80000000,228.30000000,232.60000000,793571.24700000
2023-12-08,232.60000000,240.00000000,232.20000000,238.90000000,764638.52000000
2023-12-09,238.80000000,245.50000000,236.30000000,237.70000000,838098.22300000
2023-12-10,237.80000000,241.40000000,236.80000000,239.80000000,433591.53400000
2023-12-11,239.80000000,248.20000000,228.00000000,246.40000000,2010717.77200000
2023-12-12,246.40000000,257.30000000,245.50000000,254.60000000,1877670.62900000
2023-12-13,254.60000000,255.90000000,244.10000000,252.00000000,1149182.33900000
2023-12-14,252.10000000,254.00000000,247.70000000,253.30000000,818946.78700000
2023-12-15,253.20000000,253.40000000,242.60000000,244.90000000,655654.89200000
2023-12-16,244.90000000,248.40000000,242.70000000,244.40000000,444080.33000000
2023-12-17,244.40000000,244.50000000,238.80000000,238.80000000,464957.44600000
2023-12-18,238.90000000,241.70000000,232.00000000,241.70000000,876189.24400000
2023-12-19,241.70000000,254.80000000,241.30000000,252.90000000,1569167.39400000
2023-12-20,252.80000000,261.90000000,250.10000000,260.30000000,1116951.00200000
2023-12-21,260.40000000,274.90000000,256.20000000,272.10000000,1286767.65300000
2023-12-22,272.10000000,276.50000000,264.90000000,271.10000000,967819.92100000
2023-12-23,271.10000000,272.00000000,265.60000000,271.00000000,408213.41200000
2023-12-24,271.00000000,272.90000000,261.90000000,264.50000000,572645.13500000
2023-12-25,264.40000000,268.20000000,261.50000000,266.90000000,469743.42300000
2023-12-26,266.80000000,303.20000000,264.00000000,297.70000000,2356245.34500000
2023-12-27,297.70000000,324.40000000,285.10000000,324.10000000,2126454.61000000
2023-12-28,324.00000000,338.30000000,320.00000000,322.60000000,2249136.21900000
2023-12-29,322.60000000,325.60000000,307.00000000,313.70000000,1407022.74000000
2023-12-30,313.70000000,320.80000000,312.20000000,317.10000000,561853.41300000
2023-12-31,317.00000000,325.50000000,307.40000000,311.80000000,667097.55700000
2024-01-01,311.90000000,316.00000000,307.00000000,313.50000000,619455.15800000
2024-01-02,313.50000000,321.30000000,305.80000000,312.20000000,937764.73700000
2024-01-03,312.30000000,334.30000000,293.60000000,315.80000000,2132158.12200000
2024-01-04,315.90000000,324.30000000,310.90000000,323.70000000,1133774.95700000
2024-01-05,323.60000000,327.30000000,308.60000000,317.50000000,1157056.27600000
2024-01-06,317.60000000,317.60000000,300.20000000,307.50000000,909358.18300000
2024-01-07,307.60000000,310.00000000,300.00000000,302.40000000,498367.08900000
2024-01-08,302.50000000,308.10000000,290.00000000,303.70000000,984590.84200000
2024-01-09,303.60000000,306.80000000,295.70000000,301.10000000,1401490.15500000
2024-01-10,301.10000000,310.00000000,288.80000000,305.80000000,1032565.47700000
2024-01-11,305.70000000,316.80000000,301.40000000,308.20000000,1179601.54300000
2024-01-12,308.20000000,313.00000000,289.10000000,296.60000000,1003340.77400000
2024-01-13,296.70000000,303.10000000,290.80000000,302.20000000,436784.23900000
2024-01-14,302.20000000,306.70000000,298.70000000,299.50000000,393054.94700000
2024-01-15,299.40000000,320.60000000,299.40000000,317.50000000,1704540.89000000
2024-01-16,317.60000000,319.40000000,313.00000000,315.20000000,951149.44500000
2024-01-17,315.10000000,316.30000000,306.80000000,309.40000000,1071343.49600000
2024-01-18,309.30000000,315.60000000,305.70000000,313.00000000,921121.88900000
2024-01-19,313.00000000,316.20000000,305.00000000,314.70000000,835724.40000000
2024-01-20,314.70000000,317.30000000,312.20000000,317.20000000,326090.18700000
2024-01-21,317.30000000,321.70000000,316.10000000,318.60000000,359764.31300000
2024-01-22,318.70000000,320.30000000,303.60000000,305.90000000,704437.64700000
2024-01-23,305.90000000,311.70000000,290.30000000,298.80000000,928195.37800000
2024-01-24,298.80000000,300.70000000,290.30000000,293.10000000,802312.81500000
2024-01-25,293.00000000,296.70000000,287.50000000,292.10000000,1004156.71900000
2024-01-26,292.10000000,304.20000000,290.70000000,302.20000000,709942.40400000
2024-01-27,302.20000000,307.70000000,301.90000000,305.60000000,285357.66700000
2024-01-28,305.70000000,309.10000000,303.10000000,305.30000000,409403.05700000
2024-01-29,305.30000000,311.00000000,304.40000000,310.70000000,442799.50500000
2024-01-30,310.70000000,313.10000000,306.30000000,307.60000000,386375.46700000
2024-01-31,307.70000000,308.20000000,298.60000000,300.50000000,459007.69800000
2024-02-01,300.50000000,302.20000000,296.40000000,300.20000000,373269.78900000
2024-02-02,300.20000000,305.20000000,299.80000000,301.40000000,309501.64900000
2024-02-03,301.40000000,303.80000000,299.50000000,299.70000000,198730.96200000
2024-02-04,299.60000000,307.70000000,298.00000000,304.70000000,503405.32300000
2024-02-05,304.70000000,306.80000000,299.50000000,301.20000000,488672.27100000
2024-02-06,301.20000000,304.10000000,300.90000000,302.70000000,260762.32100000
2024-02-07,302.80000000,308.70000000,300.70000000,307.30000000,352421.78900000
2024-02-08,307.40000000,320.60000000,307.30000000,319.20000000,921496.50200000
2024-02-09,319.20000000,326.30000000,317.90000000,324.00000000,739178.08100000
2024-02-10,324.00000000,325.40000000,318.90000000,323.00000000,321477.06400000
2024-02-11,323.00000000,324.90000000,320.10000000,320.70000000,280308.10500000
2024-02-12,320.60000000,332.20000000,315.60000000,327.80000000,576734.16200000
2024-02-13,327.90000000,329.20000000,318.60000000,324.70000000,441545.83000000
2024-02-14,324.60000000,334.60000000,323.40000000,333.90000000,452466.98000000
2024-02-15,333.90000000,366.60000000,333.30000000,354.20000000,1361590.40300000
2024-02-16,354.30000000,366.80000000,349.10000000,360.40000000,1061855.98600000
2024-02-17,360.40000000,363.70000000,348.20000000,352.90000000,630266.52000000
2024-02-18,352.90000000,358.10000000,349.10000000,349.80000000,495667.63400000
