date,open,high,low,close,volume
2023-11-29,0.61060000,0.61700000,0.60400000,0.60910000,235341461.00000000
2023-11-30,0.60900000,0.60990000,0.59820000,0.60630000,232714430.00000000
2023-12-01,0.60630000,0.61430000,0.60310000,0.61250000,248446111.00000000
2023-12-02,0.61260000,0.62290000,0.61100000,0.62080000,144130252.00000000
2023-12-03,0.62070000,0.63420000,0.61680000,0.62290000,240660124.00000000
2023-12-04,0.62290000,0.64390000,0.58200000,0.62450000,492198799.00000000
2023-12-05,0.62460000,0.63070000,0.60760000,0.62100000,369372743.00000000
2023-12-06,0.62100000,0.64370000,0.61040000,0.64000000,498860756.00000000
2023-12-07,0.64000000,0.65440000,0.62040000,0.64320000,454683854.00000000
2023-12-08,0.64310000,0.67560000,0.63730000,0.67210000,497144485.00000000
2023-12-09,0.67200000,0.70000000,0.65100000,0.65840000,522942153.00000000
2023-12-10,0.65840000,0.67150000,0.64680000,0.66170000,251001949.00000000
2023-12-11,0.66170000,0.66280000,0.60000000,0.61870000,601855237.00000000
2023-12-12,0.61870000,0.62630000,0.60670000,0.61920000,372907112.00000000
2023-12-13,0.61910000,0.63480000,0.59250000,0.62750000,383566539.00000000
2023-12-14,0.62760000,0.63790000,0.60530000,0.63160000,340698850.00000000
2023-12-15,0.63160000,0.64410000,0.61160000,0.61560000,356613976.00000000
2023-12-16,0.61560000,0.62580000,0.61000000,0.62030000,160755138.00000000
2023-12-17,0.62020000,0.62370000,0.60840000,0.61030000,176476817.00000000
2023-12-18,0.61030000,0.61450000,0.57780000,0.61250000,477105096.00000000
2023-12-19,0.61250000,0.61670000,0.59720000,0.60470000,309456484.00000000
2023-12-20,0.60470000,0.62640000,0.60100000,0.61710000,380133323.00000000
2023-12-21,0.61710000,0.62490000,0.61030000,0.62410000,294263304.00000000
2023-12-22,0.62400000,0.63170000,0.61540000,0.62440000,386616422.00000000
2023-12-23,0.62430000,0.62490000,0.61060000,0.61950000,170948891.00000000
2023-12-24,0.61950000,0.62950000,0.60350000,0.61210000,305003397.00000000
2023-12-25,0.61220000,0.64880000,0.60820000,0.64620000,501529244.00000000
2023-12-26,0.64610000,0.64690000,0.60000000,0.62190000,427204990.00000000
2023-12-27,0.62190000,0.64210000,0.61270000,0.63400000,363959180.00000000
2023-12-28,0.63410000,0.65840000,0.62490000,0.63460000,468193003.00000000
2023-12-29,0.63460000,0.63630000,0.61210000,0.62300000,347060742.00000000
2023-12-30,0.62290000,0.62970000,0.61580000,0.62070000,168141907.00000000
2023-12-31,0.62070000,0.62850000,0.60550000,0.61560000,160978768.00000000
2024-01-01,0.61550000,0.63090000,0.60830000,0.62940000,165869400.00000000
